episode,epsilon,total_reward,steps,success
756,0.05,3.0,18,1
757,0.05,3.0,18,1
758,0.05,3.0,18,1
759,0.05,3.0,18,1
760,0.05,1.0,19,1
761,0.05,1.0,20,1
762,0.05,3.0,18,1
763,0.05,1.0,19,1
764,0.05,-1.0,22,1
765,0.05,-3.0,21,1
766,0.05,3.0,18,1
767,0.05,-3.0,23,1
768,0.05,1.0,20,1
769,0.05,-1.0,20,1
770,0.05,1.0,19,1
771,0.05,1.0,19,1
772,0.05,1.0,20,1
773,0.05,3.0,18,1
774,0.05,3.0,18,1
775,0.05,1.0,19,1
776,0.05,1.0,19,1
777,0.05,1.0,20,1
778,0.05,3.0,18,1
779,0.05,3.0,18,1
780,0.05,3.0,18,1
781,0.05,3.0,18,1
782,0.05,3.0,18,1
783,0.05,3.0,18,1
784,0.05,1.0,20,1
785,0.05,3.0,18,1
786,0.05,3.0,18,1
787,0.05,3.0,18,1
788,0.05,3.0,18,1
789,0.05,1.0,20,1
790,0.05,1.0,20,1
791,0.05,3.0,18,1
792,0.05,3.0,18,1
793,0.05,1.0,19,1
794,0.05,3.0,18,1
795,0.05,3.0,18,1
796,0.05,1.0,20,1
797,0.05,-1.0,20,1
798,0.05,1.0,20,1
799,0.05,3.0,18,1
800,0.05,3.0,18,1
801,0.05,3.0,18,1
802,0.05,-1.0,21,1
803,0.05,3.0,18,1
804,0.05,3.0,18,1
805,0.05,-1.0,22,1
806,0.05,-3.0,22,1
807,0.05,1.0,19,1
808,0.05,3.0,18,1
809,0.05,1.0,20,1
810,0.05,-1.0,22,1
811,0.05,-1.0,21,1
812,0.05,1.0,19,1
813,0.05,-1.0,20,1
814,0.05,3.0,18,1
815,0.05,3.0,18,1
816,0.05,1.0,19,1
817,0.05,-1.0,22,1
818,0.05,3.0,18,1
819,0.05,3.0,18,1
820,0.05,1.0,19,1
821,0.05,-1.0,21,1
822,0.05,3.0,18,1
823,0.05,3.0,18,1
824,0.05,1.0,19,1
825,0.05,3.0,18,1
826,0.05,1.0,19,1
827,0.05,3.0,18,1
828,0.05,1.0,19,1
829,0.05,3.0,18,1
830,0.05,3.0,18,1
831,0.05,3.0,18,1
832,0.05,1.0,20,1
833,0.05,-3.0,23,1
834,0.05,3.0,18,1
835,0.05,1.0,20,1
836,0.05,3.0,18,1
837,0.05,3.0,18,1
838,0.05,1.0,20,1
839,0.05,3.0,18,1
840,0.05,3.0,18,1
841,0.05,1.0,19,1
842,0.05,1.0,20,1
843,0.05,3.0,18,1
844,0.05,3.0,18,1
845,0.05,3.0,18,1
846,0.05,1.0,20,1
847,0.05,3.0,18,1
848,0.05,1.0,20,1
849,0.05,-1.0,22,1
850,0.05,-3.0,22,1
851,0.05,3.0,18,1
852,0.05,-1.0,21,1
853,0.05,3.0,18,1
854,0.05,1.0,20,1
855,0.05,3.0,18,1
856,0.05,3.0,18,1
857,0.05,3.0,18,1
858,0.05,-1.0,20,1
859,0.05,3.0,18,1
860,0.05,1.0,20,1
861,0.05,3.0,18,1
862,0.05,3.0,18,1
863,0.05,3.0,18,1
864,0.05,3.0,18,1
865,0.05,1.0,20,1
866,0.05,1.0,19,1
867,0.05,3.0,18,1
868,0.05,3.0,18,1
869,0.05,3.0,18,1
870,0.05,3.0,18,1
871,0.05,3.0,18,1
872,0.05,3.0,18,1
873,0.05,3.0,18,1
874,0.05,3.0,18,1
875,0.05,1.0,20,1
876,0.05,-1.0,21,1
877,0.05,-1.0,21,1
878,0.05,3.0,18,1
879,0.05,3.0,18,1
880,0.05,1.0,20,1
881,0.05,3.0,18,1
882,0.05,3.0,18,1
883,0.05,3.0,18,1
884,0.05,3.0,18,1
885,0.05,3.0,18,1
886,0.05,3.0,18,1
887,0.05,1.0,20,1
888,0.05,3.0,18,1
889,0.05,3.0,18,1
890,0.05,3.0,18,1
891,0.05,1.0,19,1
892,0.05,3.0,18,1
893,0.05,1.0,19,1
894,0.05,1.0,20,1
895,0.05,-1.0,21,1
896,0.05,-3.0,22,1
897,0.05,3.0,18,1
898,0.05,3.0,18,1
899,0.05,1.0,20,1
900,0.05,3.0,18,1
901,0.05,3.0,18,1
902,0.05,3.0,18,1
903,0.05,3.0,18,1
904,0.05,1.0,20,1
905,0.05,3.0,18,1
906,0.05,3.0,18,1
907,0.05,1.0,19,1
908,0.05,3.0,18,1
909,0.05,1.0,19,1
910,0.05,3.0,18,1
911,0.05,-3.0,23,1
912,0.05,1.0,19,1
913,0.05,3.0,18,1
914,0.05,3.0,18,1
915,0.05,3.0,18,1
916,0.05,3.0,18,1
917,0.05,-1.0,21,1
918,0.05,3.0,18,1
919,0.05,1.0,19,1
920,0.05,3.0,18,1
921,0.05,1.0,19,1
922,0.05,3.0,18,1
923,0.05,1.0,20,1
924,0.05,1.0,20,1
925,0.05,-3.0,22,1
926,0.05,1.0,20,1
927,0.05,-1.0,21,1
928,0.05,1.0,19,1
929,0.05,-1.0,20,1
930,0.05,-3.0,23,1
931,0.05,1.0,20,1
932,0.05,3.0,18,1
933,0.05,1.0,20,1
934,0.05,3.0,18,1
935,0.05,3.0,18,1
936,0.05,1.0,20,1
937,0.05,1.0,19,1
938,0.05,1.0,19,1
939,0.05,1.0,20,1
940,0.05,-1.0,20,1
941,0.05,-1.0,21,1
942,0.05,-1.0,20,1
943,0.05,3.0,18,1
944,0.05,3.0,18,1
945,0.05,3.0,18,1
946,0.05,-1.0,21,1
947,0.05,3.0,18,1
948,0.05,3.0,18,1
949,0.05,3.0,18,1
950,0.05,3.0,18,1
951,0.05,-1.0,21,1
952,0.05,1.0,19,1
953,0.05,3.0,18,1
954,0.05,3.0,18,1
955,0.05,1.0,20,1
956,0.05,1.0,19,1
957,0.05,1.0,20,1
958,0.05,-1.0,21,1
959,0.05,-1.0,20,1
960,0.05,1.0,20,1
961,0.05,-1.0,22,1
962,0.05,3.0,18,1
963,0.05,1.0,19,1
964,0.05,3.0,18,1
965,0.05,1.0,20,1
966,0.05,3.0,18,1
967,0.05,1.0,19,1
968,0.05,1.0,20,1
969,0.05,1.0,19,1
970,0.05,1.0,19,1
971,0.05,3.0,18,1
972,0.05,1.0,19,1
973,0.05,3.0,18,1
974,0.05,-1.0,22,1
975,0.05,1.0,20,1
976,0.05,3.0,18,1
977,0.05,3.0,18,1
978,0.05,3.0,18,1
979,0.05,3.0,18,1
980,0.05,3.0,18,1
981,0.05,3.0,18,1
982,0.05,3.0,18,1
983,0.05,-1.0,22,1
984,0.05,-1.0,20,1
985,0.05,1.0,19,1
986,0.05,1.0,20,1
987,0.05,-1.0,20,1
988,0.05,1.0,20,1
989,0.05,1.0,19,1
990,0.05,1.0,19,1
991,0.05,-1.0,20,1
992,0.05,3.0,18,1
993,0.05,1.0,20,1
994,0.05,3.0,18,1
995,0.05,-1.0,20,1
996,0.05,1.0,20,1
997,0.05,1.0,19,1
998,0.05,-1.0,21,1
999,0.05,1.0,19,1
1000,0.05,3.0,18,1
